"","Buffer","detected","not an unique name","multiple matches","not detected","total not detected","detected in %","no unqie in %","multiple matches in %","not detected in %","total not detected in %","Total detected in %"
"1",0,713,84,55,418,557,56.14,6.61,4.33,32.91,43.85,56.15
"2",1,33,84,55,385,524,2.6,6.61,4.33,30.31,41.25,58.75
"3",2,30,86,55,353,494,2.36,6.77,4.33,27.8,38.9,61.1
"4",3,26,88,55,325,468,2.05,6.93,4.33,25.59,36.85,63.15
"5",4,21,88,55,304,447,1.65,6.93,4.33,23.94,35.2,64.8
"6",5,13,88,55,291,434,1.02,6.93,4.33,22.91,34.17,65.83
"7",6,17,88,55,274,417,1.34,6.93,4.33,21.57,32.83,67.17
"8",7,14,88,55,260,403,1.1,6.93,4.33,20.47,31.73,68.27
"9",8,15,88,55,245,388,1.18,6.93,4.33,19.29,30.55,69.45
"10",9,12,88,55,233,376,0.94,6.93,4.33,18.35,29.61,70.39
"11",10,16,88,55,217,360,1.26,6.93,4.33,17.09,28.35,71.65
"12",11,11,88,55,206,349,0.87,6.93,4.33,16.22,27.48,72.52
"13",12,7,88,55,199,342,0.55,6.93,4.33,15.67,26.93,73.07
"14",13,4,88,55,195,338,0.31,6.93,4.33,15.35,26.61,73.39
"15",14,2,88,55,193,336,0.16,6.93,4.33,15.2,26.46,73.54
"16",15,13,88,55,180,323,1.02,6.93,4.33,14.17,25.43,74.57
"17",16,3,88,55,177,320,0.24,6.93,4.33,13.94,25.2,74.8
"18",17,3,88,55,174,317,0.24,6.93,4.33,13.7,24.96,75.04
"19",18,8,88,55,166,309,0.63,6.93,4.33,13.07,24.33,75.67
"20",19,7,88,55,159,302,0.55,6.93,4.33,12.52,23.78,76.22
"21",20,0,88,55,159,302,0,6.93,4.33,12.52,23.78,76.22
"22",21,3,88,55,156,299,0.24,6.93,4.33,12.28,23.54,76.46
"23",22,2,88,55,154,297,0.16,6.93,4.33,12.13,23.39,76.61
"24",23,2,88,55,152,295,0.16,6.93,4.33,11.97,23.23,76.77
"25",24,2,88,55,150,293,0.16,6.93,4.33,11.81,23.07,76.93
"26",25,0,88,55,150,293,0,6.93,4.33,11.81,23.07,76.93
